Treatment,PriorPercentCorrect,ProblemCount,complete
C,0.678428228,4,0
C,0.687479568,4,1
C,0.654342432,2,0
E,0.748665696,5,1
E,0.727328809,4,1
E,0.670737913,4,1
E,0.627826754,3,1
E,0.625583902,2,0
E,0.728543877,5,0
E,0.741132875,5,1
E,0.630537634,4,1
C,0.658687943,5,1
E,0.669316375,1,0
E,0.661864407,5,1
C,0.703816794,3,1
E,0.750476917,4,1
C,0.682909351,5,1
E,0.766949153,10,1
E,0.739246289,7,0
E,0.698457792,5,1
E,0.613088404,4,1
C,0.693230174,5,1
C,0.712783852,3,1
C,0.741444867,9,0
C,0.755598832,10,1
E,0.69947583,3,1
E,0.722252899,3,1
C,0.627836611,1,0
C,0.627762431,3,1
C,0.712839638,25,1
C,0.756829138,6,1
E,0.729056965,6,0
C,0.595073133,9,1
E,0.709234828,3,1
C,0.68355041,2,0
E,0.637807784,3,1
C,0.707564026,1,0
C,0.677169707,3,1
C,0.67525196,2,0
C,0.727758687,3,1
E,0.661672474,3,1
C,0.753355705,5,1
E,0.670050761,3,1
E,0.709599028,5,1
C,0.710989678,3,1
E,0.678758565,4,1
E,0.724537037,3,1
C,0.713423131,5,0
E,0.701574803,3,1
E,0.849334601,4,1
E,0.689182058,5,1
E,0.657980456,3,1
E,0.659685864,3,1
E,0.691646778,1,0
E,0.667728238,3,1
E,0.685871743,4,1
E,0.66088061,5,1
E,0.661220044,3,1
C,0.649143302,3,1
E,0.601335559,3,0
E,0.598095238,3,1
C,0.595948827,4,1
C,0.536129358,1,0
E,0.742145821,9,1
C,0.633686148,3,1
C,0.587731323,6,1
E,0.633995888,3,1
C,0.652740341,3,1
E,0.685080021,3,1
E,0.691846523,1,0
C,0.639556377,3,1
C,0.712959381,6,1
E,0.726833553,1,0
E,0.718571429,3,1
C,0.660856935,5,1
C,0.708349667,5,1
C,0.72219593,13,1
C,0.575348837,3,1
C,0.728848535,5,1
E,0.696275072,3,1
E,0.712187959,4,1
E,0.807708779,3,1
C,0.686891815,1,0
E,0.665741255,3,1
E,0.69571231,1,0
C,0.723451327,5,1
E,0.669216061,4,0
C,0.649484536,3,1
E,0.556334736,3,1
E,0.733333333,1,0
E,0.722375691,5,1
C,0.711191336,5,1
E,0.655840456,12,1
E,0.78907168,1,0
E,0.695143359,3,1
C,0.397089397,15,1
E,0.670353982,1,0
C,0.701881331,1,0
E,0.731878958,6,0
E,0.807934204,6,1
E,0.745658047,4,1
E,0.775604143,4,1
E,0.875,3,0
E,0.977272727,1,0
E,0.633333333,1,0
C,0.74,3,1
E,0.677927928,1,0
C,0.681388013,5,1
C,0.691852825,2,0
E,0.775,3,1
C,0.737327189,3,1
E,0.644474035,3,1
C,0.809943035,3,1
E,0.74750499,5,1
E,0.819093287,1,0
C,0.664921466,5,1
E,0.767216295,4,1
C,0.803096275,5,1
E,0.712210622,5,1
C,0.7055993,3,1
C,0.813712807,5,1
E,0.724348308,4,1
E,0.751243781,3,1
E,0.639566396,5,1
C,0.781810232,4,1
C,0.825610364,1,0
C,0.699110672,3,1
C,0.775847808,6,1
E,0.80270793,4,1
C,0.630666667,4,1
E,0.673289183,4,1
E,0.625882353,5,1
C,0.527877698,3,1
E,0.609215017,5,1
E,0.624882187,1,0
C,0.695835848,3,1
C,0.749506903,3,1
C,0.651531729,3,1
C,0.680874317,6,1
C,0.85205314,3,1
E,0.729107792,3,1
C,0.626123013,5,1
C,0.612188366,1,0
C,0.660647103,3,1
E,0.570307785,1,0
E,0.727422003,7,1
E,0.685624013,6,1
C,0.72,8,1
E,0.689878543,3,1
C,0.671410091,5,1
E,0.790204678,3,1
C,0.663914121,5,1
C,0.65661047,1,0
C,0.621872104,3,1
C,0.74983628,4,1
C,0.607476636,4,1
C,0.695512821,3,1
C,0.611806798,3,1
C,0.703156823,3,1
